Asset,weights
AMD,0.00494210794090724
AFL,0.008148474773243358
AME,0.058012854452866844
BBWI,0.04879656141523735
TECH,0.008830641018358313
BRO,0.14848066785278866
CHRW,0.09122271163305765
KO,0.02410648913698079
DLR,0.011747977377693645
EIX,0.006316652526313747
EVRG,0.022791161033342548
FIS,0.014331572522488347
HSY,0.0048817901380599805
IQV,0.05862154326950803
JBL,0.09047997441731007
KIM,0.03723741153090403
LH,0.059835372039910746
META,0.004272612772235537
NWS,0.1324642372591704
NI,0.032920836914887064
NCLH,0.03157639641435363
ON,0.0005848955621169891
PANW,0.018896409706935603
TRV,0.06531792379792926
WRK,0.015181657491896006
