Asset,weights
ABT,0.04098534318521951
AME,0.0007121480434598178
BBWI,0.015214223626883183
BWA,0.020590808617543664
DAL,0.03163821346335309
EQR,0.010052573844567722
FIS,0.054702627226175984
FI,0.030472678190356556
GEN,0.0037589167206864543
HSIC,0.009935744701148509
LH,0.05454574592039323
LRCX,0.11368953383196403
MKTX,0.11851123631606769
META,0.1894074721703471
NWS,0.05137759808938813
NI,0.0175399004185795
NCLH,0.07649025074800503
ROP,0.07787774170875417
TSLA,0.009599679464774273
UBER,0.07289756305965202
