Asset,weights
ABBV,0.004788401982566403
BBWI,0.021076023553937995
BIO,0.005865956015512211
BLK,0.030381176608165257
CDNS,0.11576259847719206
COR,0.06806841519127428
CHRW,0.021642239046367247
CI,0.007130888700918472
C,0.061592823531524656
CSX,0.03380729463078579
DLR,0.013191160270284727
DLTR,0.021713227292828093
FIS,0.0003279961890039068
FOXA,0.007684598383531586
HAS,0.028345902997211157
HSY,0.010893657540724837
HD,0.02984684312697345
HRL,0.03347382621823803
INVH,0.05226197142812435
JBHT,0.02922049030063636
JBL,0.05530095967986689
JNPR,0.04479221156831204
KEY,0.03132152565785464
LH,0.02425321270458836
LRCX,0.019090398491933426
LYV,0.024132491129323343
MA,0.014460745994421402
MET,0.002532155726265491
MU,0.018573499473980667
MAA,0.03764194542280394
NEE,0.006527943777216906
NI,0.0008949038655001209
NSC,0.011544064659196666
PCAR,0.029049689975881844
PH,0.00040777324887362754
DGX,0.007138263730489999
SLB,0.026532398591889137
TYL,0.021532413083522883
WRB,0.009807534178088446
XEL,0.017390368591848757
