Asset,weights
ABT,0.004619298281575377
BBWI,0.009246672928249662
TECH,0.0036589356668432892
BRO,0.13916073902486636
CDNS,0.032027059226422634
KO,0.007622273491304908
ELV,0.014585402148546889
EQR,0.003369803275465023
ETSY,0.06394156872604104
GL,0.015635728041535003
LH,0.16298541961717236
MRNA,0.01924786663105039
MHK,0.03335824099230107
NEE,0.07804242886550065
NI,0.006718537249638175
NOC,0.07133202538550693
NCLH,0.06240568430657245
ON,0.0002416185047697478
PCAR,0.062428231671594
PCG,0.08613489390842946
TRV,0.023927304704966734
UBER,0.006362391692936001
WAT,0.09294786347638381
